"country_code_numeric","country_code","country","year","0-0M","0-0F","1-4M","1-4F","5-9M","5-9F","10-19M","10-19F","20-29M","20-29F","30-39M","30-39F","40-49M","40-49F","50-59M","50-59F","60-69M","60-69F","70-79M","70-79F","80-89M","80-89F","90+M","90+F"
508,"MOZ","Mozambique",1990,0.0225457540057815,0.017608479006798,0.0318547217738494,0.0242077000266002,0.0316542902261956,0.0235721531368814,0.0350174326716796,0.0257987769115515,0.0357928583673808,0.0264955907679196,0.0349480742951108,0.0262759762226498,0.0334702758581255,0.0256280164827696,0.0325899708857657,0.0249437956447585,0.0330769501563069,0.0252277415464066,0.0337148450124453,0.0256600028362057,0.0340176554648235,0.0258954077791252,0.0332696857703457,0.0255513914541207
516,"NAM","Namibia",1990,0.0591966643226986,0.0420728586911961,0.0749163872177724,0.053515846554691,0.0722834877891945,0.0520254237322675,0.0771504797404049,0.0558351268267563,0.0806834804382931,0.0581371543062893,0.085047293177947,0.0603204096338195,0.0910536328340542,0.0632756370114981,0.0985435572460629,0.0681779832906854,0.10679412121662,0.0743476773080707,0.113433314434237,0.0798566271048112,0.117722161309133,0.0839621825934761,0.118221026427176,0.0856556348915959
524,"NPL","Nepal",1990,0.00767344090560853,0.00632554823103999,0.0102186014975759,0.00835119726766697,0.00849368679252201,0.00677616438857503,0.0101635811466388,0.00780477844663194,0.0118833942717076,0.00876166994593301,0.0130853265348746,0.00940804366412968,0.0139123538623257,0.00991794617398513,0.0147925570125934,0.0106976905694132,0.0155708278137073,0.0113654924731312,0.0156469094812401,0.0114336172018037,0.0148719461451401,0.0106801949339943,0.0127867212546471,0.00833234650008786
548,"VUT","Vanuatu",1990,0.0954996712989007,0.144257880763708,0.159225423098838,0.193511401954529,0.130205038174241,0.140812519704979,0.16399805760793,0.164064914081713,0.199031467622198,0.18585709981289,0.225328802246488,0.199338918155101,0.243079078928832,0.206283507650227,0.249582430592495,0.208977585063579,0.255591761173837,0.214554640680632,0.260042294595834,0.220485897906227,0.261147820288591,0.224724896101438,0.255189212926044,0.224113669905825
558,"NIC","Nicaragua",1990,0.00434424449101151,0.00320137612799169,0.00760261168609072,0.00554374077842775,0.00609420403879289,0.00437168771571614,0.00748138453028925,0.00529828562660745,0.00851148639880345,0.00594506174317662,0.00920960679485267,0.00637615283727528,0.00979253959545027,0.00677271458419418,0.0105648287629375,0.0074007118316852,0.0113893392936574,0.00808731095736825,0.0120256289417708,0.00864675164334699,0.0124298153161971,0.00904717511410256,0.0126074177183542,0.00930089165264634
562,"NER","Niger",1990,0.122069685934164,0.106627819615261,0.147292739420469,0.124908871679853,0.138627345433875,0.113309612837699,0.15352714788581,0.12028138419769,0.167104665916119,0.125622792238305,0.178784113591276,0.130269745056128,0.192135662037902,0.136231521449593,0.210492855593323,0.146047313961602,0.22831860568222,0.15732947533418,0.240437852595103,0.164825329907405,0.246929306992219,0.167677966897902,0.24750108075649,0.164509621689931
566,"NGA","Nigeria",1990,0.0598901221592542,0.0444253071074782,0.0760961452445929,0.0561755550320461,0.0756161800873176,0.0552996171751427,0.0825331568480396,0.0596808294572544,0.0867423639117866,0.0617230666640998,0.0868793763836126,0.0613590902546518,0.0859799941150527,0.0616404417125921,0.0891782694543795,0.0630463330678801,0.0904690203304932,0.0618019904761378,0.087489841339552,0.0600101472327186,0.0821237853300091,0.0578131558252881,0.0738838889673898,0.0521831491771785
583,"FSM","Micronesia, Federated States of",1990,0.0348012020431191,0.0525181610987535,0.0668680696408995,0.0812744647815386,0.0486396137444035,0.0524994465771155,0.0670601820180041,0.0664239601627124,0.0866061977264958,0.0802260978249036,0.101804730290905,0.0895848431453032,0.1124363589201,0.0950298751777333,0.11598873879607,0.0977865907426369,0.118118649385448,0.101203899612249,0.11896756694154,0.104334807879633,0.117759246021641,0.106363201054374,0.112612967076835,0.105583462682069
584,"MHL","Marshall Islands",1990,0.0351472424597605,0.0825491336759405,0.0615834891189526,0.127724336531983,0.0470934921808072,0.0925745556790649,0.0619586255193917,0.117700872227554,0.0783297518741434,0.144173667325414,0.0907911238182064,0.161630031342852,0.0990145084428582,0.171699818748013,0.100755926815687,0.176393900677795,0.100261662277772,0.181340081329619,0.0981218271147017,0.185844080245105,0.0937745337371863,0.188860740430692,0.0840522706758158,0.187869325121021
586,"PAK","Pakistan",1990,0.0297455348276307,0.019495881101114,0.0449945201767784,0.0283261294485986,0.0386780447559195,0.0244502287100329,0.0442877762935697,0.0286336700648144,0.0483638457005678,0.0324706633859107,0.0504670533541124,0.0349884525671939,0.0513134183365252,0.0363884805408278,0.0529825819831656,0.0382404115497597,0.0547868652461069,0.0390653774515213,0.0559304796414726,0.0374771730017684,0.0556469594292254,0.0331862422140719,0.0543725446471136,0.0246651411354106
